AsOf,p_5,p_10,p_15,p_20,p_25,p_30,p_35,p_40,p_45,p_50,p_55,p_60,p_65,p_70,p_75,p_80,p_85,p_90,p_95,r_5,r_10,r_15,r_20,r_25,r_30,r_35,r_40,r_45,r_50,r_55,r_60,r_65,r_70,r_75,r_80,r_85,r_90,r_95,vol_5,vol_10,vol_15,vol_20,vol_25,vol_30,vol_35,vol_40,vol_45,vol_50,vol_55,vol_60,vol_65,vol_70,vol_75,vol_80,vol_85,vol_90,vol_95
2017-08-02,1.4354012142299999,2.4222174992,3.63861284785,4.89523265724,6.219117913200001,7.62587158492,9.13701831344,10.6295888063,12.2149208621,13.855830763699998,15.653331308599999,17.725210160499998,19.9893778478,22.253545535100002,24.5177132225,26.7818809098,29.0460485971,31.3102162844,33.5743839717,137.535039533,93.224758136,69.3189755719,54.4355673229,44.057122383599996,36.5187440005,30.4969758773,25.118535126399998,20.9160045954,17.1484616117,14.003173909100001,11.4867298903,9.27164330833,7.056556726339999,4.84147014436,2.62638356237,0.411296980385,0.0,0.0,0.587556499977,0.5186783825119999,0.474451659727,0.444366988852,0.422930197741,0.407640729745,0.3945132170970001,0.379719004699,0.366008868851,0.35305867819700004,0.342321882972,0.33374216477400004,0.326448787349,0.31915540992400004,0.311862032498,0.304568655073,0.297275277648,0.289981900222,0.282688522797
2017-08-03,1.4178157057799998,2.61203729102,3.8584731235300014,5.1339787255300005,6.50007166618,7.951714632180001,9.55303706915,11.179437325799999,12.7975415722,14.5545658413,16.412541381,18.409898712,20.8051612969,23.3627280036,25.9202947102,28.4778614169,31.03542812360001,33.5929948303,36.1505615369,140.78598609,97.7068514908,73.4812905048,57.3861050282,46.2414304081,38.1159535712,31.7603630959,26.5819073712,21.8004764926,18.0587709962,14.767652099600001,11.8896872795,9.61857609441,7.548352447719999,5.47812880103,3.4079051543400003,1.33768150765,0.0,0.0,0.597762270863,0.5319422516910001,0.49204951247400003,0.459160954285,0.435091529401,0.418204111232,0.405334436646,0.392195935196,0.378262985419,0.36512297027699997,0.353040246273,0.342408449667,0.334062726176,0.32666762161699997,0.319272517059,0.3118774125,0.304482307941,0.297087203383,0.289692098824
2017-08-07,1.4676702640900001,2.6744618388099997,4.04572469643,5.387893561499999,6.78804685082,8.27295822666,9.92510763207,11.6502994587,13.3865220033,15.1678037042,17.0655038302,19.1270918603,21.2806054903,24.0553892161,26.986488739499997,29.917588262800002,32.848687786199996,35.7797873095,38.7108868329,144.353988096,101.65820107799999,77.0211554062,60.333241220299996,48.4689805357,39.7148391884,33.1893758517,27.6060834179,22.9552928374,18.7946172483,15.3384280203,12.464954490699999,9.790476425549999,7.7861405699,5.9266154028299995,4.067090235769999,2.2075650687,0.348039901629,0.0,0.609028947671,0.543484028845,0.506980070943,0.474449625366,0.44794510664899995,0.429127505714,0.41555913122599997,0.403746486035,0.38947584457900003,0.375310297289,0.361424899878,0.3497437877699999,0.33878854765,0.330696207495,0.323415685938,0.316135164382,0.30885464282499997,0.30157412126899996,0.29429359971200003
2017-08-08,1.37997829347,2.80224179255,4.20149057492,5.6951154596,7.2066261891,8.78354094842,10.47443896,12.3049720695,14.219193468399999,16.1540095633,18.1549924133,20.257249769,22.6438723339,25.1411025154,28.2704521182,31.874962284699997,35.4794724511,39.0839826176,42.688492784,145.815415489,107.886064644,80.8144495985,63.9453151334,51.7346695845,42.1860394624,34.8450378781,29.240412213400003,24.2592418112,20.1437881435,16.4265439631,13.153308465599999,10.533878768,8.15113933524,6.18138606936,4.50836140781,2.8353367462700003,1.16231208473,0.0,0.617069582518,0.559150008609,0.5172524549440001,0.488801492261,0.464020119918,0.44206101520499996,0.425951767363,0.41381451581,0.4028596951340001,0.38925628307300003,0.375671625071,0.362043705744,0.349959235196,0.338735663477,0.32942620413199997,0.321527763447,0.313629322761,0.305730882076,0.297832441391
2017-08-09,1.50530246259,2.9447060994700003,4.416138447430001,5.98200275757,7.596557347410001,9.21048866095,10.9706465127,12.8472406233,14.8864388756,16.963796501300006,19.1086756608,21.2887524439,23.7215255632,26.4326542423,29.4740964976,33.3488530773,37.2236096571,41.0983662369,44.9731228166,149.54390107,113.931973841,85.1125311231,67.9450036377,54.73393041520001,44.5375138937,36.8553292321,30.6300334278,25.6634389656,21.2210757236,17.2663269386,13.925034889800001,11.071307515,8.68470457087,6.4914280915600004,4.7578439914,3.02425989123,1.2906757910700002,0.0,0.637728391035,0.584348863034,0.538730051598,0.512466346503,0.486580211647,0.46260764179200003,0.445205160732,0.4315810498480001,0.421039058633,0.40786673381800004,0.39396663242700003,0.37991753427,0.366551407295,0.35485726376500004,0.344186973563,0.335886229841,0.327585486119,0.319284742398,0.310983998676
2017-08-10,1.60505588113,3.27825628806,4.9547564856,6.68911825059,8.62357332727,10.5333253624,12.4512556878,14.4442855198,16.6582557554,19.1213163739,21.6601267631,24.2483471619,26.9794589133,29.803107852600004,33.308485298499996,37.0966418854,42.1377451546,47.2607829218,52.383820689,153.49242589,125.520039596,97.6835246753,77.0156579147,63.1091833203,51.70572956260001,42.4605958565,34.9669157369,29.086565606100002,24.254252099400002,19.9243619255,16.0368225808,12.800270177,9.756469580669998,7.48912283901,5.325903465990001,3.5923831847,1.8837620221400002,0.175140859589,0.673067388534,0.6322306229300001,0.590642720245,0.558921641404,0.538988037772,0.5168450640860001,0.494049439355,0.47504628787500003,0.460763822167,0.449498602668,0.437471699868,0.42309274651199996,0.408221000818,0.393297974807,0.38008441382700003,0.36764489440399994,0.357555897887,0.347491301967,0.337426706048
2017-08-11,1.10708039624,3.24843601597,4.8367646402,6.5992123135,8.44420771409,10.3293898862,12.2119467975,14.2278395847,16.400942556300002,18.8565297856,21.2379537408,23.7241838031,26.371825384,29.3202471091,32.638829701,36.5846456877,41.3736876136,46.1627295396,50.951771465600004,156.674687221,124.888182465,95.1989841452,75.9406369438,61.70452078050001,50.6750708492,41.5066215818,34.4165794106,28.502421214800002,23.812262884699997,19.4781553819,15.6666503423,12.47845004,9.6674229829,7.3058507097000005,5.24057186571,3.5199292466300003,1.79928662755,0.0887233204666,0.6744244600560001,0.627499845736,0.581624852086,0.554602208567,0.5313093888970001,0.509272680737,0.4869818405520001,0.469644341005,0.45570462673100004,0.44518655230099996,0.431510328274,0.41696396263400004,0.40196853511,0.38775111328,0.3748785315,0.36377220124,0.35428389334399996,0.344795585448,0.33530727755199996
2017-08-14,1.7966595732700001,2.93888494833,4.46799664964,6.0837819798699995,7.69792212509,9.31569394871,11.079608396300001,12.991896184000002,14.955350069200001,16.9653563079,19.0395411517,21.1757986967,23.7091611405,26.324151447800002,29.728730913499998,33.4080282364,37.0873255593,40.7666228822,44.4459202051,155.39125607100002,113.710443626,86.1627816287,68.53675359420001,55.4075414838,45.0114813326,37.2732841654,31.210523117199998,25.872802400100003,21.2784703849,17.3663386201,13.842985383599999,11.129237169000001,8.566172378680001,6.55739578054,4.73004861227,2.90270144399,1.07535427571,0.0,0.649466620703,0.58760831661,0.548715089718,0.521207498057,0.495668780538,0.471371935992,0.45370558134800004,0.440797752309,0.4281197024090001,0.412497864666,0.39691126303900004,0.38134067140600003,0.368860087851,0.357050571028,0.348346661748,0.34071145358099997,0.333076245414,0.325441037247,0.31780582908000005
2017-08-15,1.7743362135799998,2.92863004684,4.46135431791,6.07611226679,7.6828490714600015,9.22142172609,10.945605611300001,12.8686419179,14.8433168852,16.7828299373,18.7962325777,20.8942461944,23.3610766262,26.025010357,29.2011724229,32.979720145900004,36.758267869,40.536815591999996,44.3153633151,153.923341126,112.489497608,85.6301890382,68.08155636,54.9782066167,44.5759130347,36.8122232423,30.7793918335,25.4965032234,20.9879226895,17.0698338654,13.6450033125,10.8916019721,8.48010115522,6.39284658538,4.66764144418,2.9424363029799996,1.2172311617899998,0.0,0.643786525583,0.582016032146,0.544901116335,0.517658365155,0.491688885553,0.46633324228600004,0.447914099789,0.434379575421,0.4216368271580001,0.405721300118,0.39015223704,0.374894141479,0.361990106531,0.35049776905,0.340853005616,0.33330528269000004,0.325757559763,0.318209836837,0.310662113911
2017-08-16,1.42429655684,2.7777814502999996,4.29686658295,5.778901554809999,7.196828271669999,8.70423046098,10.381833585199999,12.1514949211,13.9266719106,15.7280672497,17.6315118889,19.6547829585,22.0050849626,24.357478284699997,27.718929599699997,31.113852353899997,34.5087751081,37.9036978623,41.2986206165,153.637028936,107.926896467,82.4135721198,64.7982809383,51.6499646122,41.976963952800006,34.7218090109,28.8353048176,23.976644374299998,19.5005789854,15.915221743599998,12.6655293569,10.2231518588,7.783083938019999,6.06616333755,4.36564389656,2.66512445558,0.964605014599,0.0,0.6408172603719999,0.568722151641,0.533918101371,0.502248442918,0.470367517158,0.446123940343,0.429086147027,0.416090460773,0.400215124085,0.384122828144,0.36884246850900004,0.35461465939000003,0.34353076876999994,0.332453373032,0.325426207174,0.31853670372299997,0.311647200271,0.30475769682,0.297868193369
